PLC電池電力不足
緊急停止押扣中
入氣源不足異常
轉盤異常
閥桿排除異常
S1閥桿壓入上下歸異常
S1閥桿壓入上下出異常
S2_O令頂出歸異常
S2_O令頂出出異常
S2_O令移位歸異常
S2_O令移位出異常
S2_取O令歸異常
S2_取O令出異常
S2_取O令移位歸異常
S2_取O令移位出異常
S2_取O令推出歸異常
S2_取O令推出出異常
S2_閥桿定位歸異常
S2_閥桿定位出異常
S2_O令壓入定位歸異常
S2_O令壓入定位出異常
S2_O令壓入移位歸異常
S2_O令壓入移位出異常
S2_治具頂出歸異常
S2_治具頂出出異常
S2_O令壓入歸異常
S2_O令壓入出異常
S3_檢知閥桿定位歸異常
S3_檢知閥桿定位出異常
S3_檢知歸異常
S3_檢知出異常
S4_退料上下歸異常
S4_退料上下出異常
S4_退料頂出歸異常
S4_退料頂出出異常
S4_退料夾持歸異常
S4_退料夾持出異常
S4_退料移位歸異常
S4_退料移位出異常
S4_不良退料歸異常
S4_不良退料出異常
S1_滿料異常
S1_進料異常
S1_閥桿置入異常
S2_滿料異常
S2_進料異常
S3_檢查1異常
S3_檢查2異常
